.com Collection name,sports,,,,
3DS,,,,,x
4 x 100m Relay,x,,,,
4 x 400m Relay,x,,,,
Acrobatic Gymnastics,x,,,,
Adventure,x,,,,
Adventure Racing,x,,,,
Aerial Skiing,x,,,,
Aerobatic Flying,x,,,,
Aerobics,x,,,,
Air Racing,x,,,,
Alley Cat Racing,x,,,,
Alpine Skiing,x,,,,
Alpine Skiing Combined,x,,,,
Alternative,,,,,
Android,,,,,
Art of Can,,,,,
Artistic Gymnastics,x,,,,
Athletics,x,,,,
Athletics Various,x,,,,
Atlantic Championship,x,,,,
B-Boys,,,,x,
Backstroke,x,,,,
Ballet,x,,,,
BASE Jumping,x,,,,
Baseball,x,,,,
Basketball,x,,,,
Battlefield,,,,,x
Beach Handball,x,,,,
Beach Soccer,x,,,,
Beach Volleyball,x,,,,
Beatboxing,,,,,
Biathlon,x,,,,
Big Wave Surfing,x,,,,
Blizzard,,,,,x
BMX,x,,,,
BMX Dirt,x,,,,
BMX Flatland,x,,,,
BMX Freestyle,x,,,,
BMX Mega Ramp,x,,,,
BMX Park,x,,,,
BMX Racing,x,,,,
BMX Street,x,,,,
BMX Vert,x,,,,
Body Surfing,x,,,,
Bodyboarding,x,,,,
Bodybuilding,x,,,,
Bouldering,x,,,,
Boxing,x,,,,
Breaststroke,x,,,,
Buggykiting,,,,,
Bungee Jumping,x,,,,
Butterfly Stroke,x,,,,
Calendar,,,,,
Call Of Duty,,,,,
Canoe Marathon,x,,,,
Canoe Sprint,x,,,,
Canyoning,x,,,,
Capcom,,,,,
Champ Car,,,,,
Chess,x,,,,
Circuit Training,x,,,,
Classic,,,,,
Classic Rock,,,,,
Cliff Diving,,,,,
Climbing,x,,,,
Climbing Lead,x,,,,
Climbing Speed,x,,,,
Clowning,,,,x,
Clubbing,,,,x,
Codemasters,,,,,
Combat Sports,x,,,,
Comics,,,,,x
Console,,,,,
Cricket,x,,,,
Cross-Country Running,x,,,,
Cross-Country Skiing,x,,,,
crossfit,x,,,,
Curling,x,,,,
Cycling,x,,,,
Cycling Soccer,x,,,,
Cyclocross,x,,,,
DA1,,,,,
DA2,,,,,
Darts,x,,,,
Destiny,,,,,
Dinghy Sailing,x,,,,
displaytag-test,,,,,
Dota 2,,,,,
Downhill Skiing,x,,,,
Drifting,x,,,,
Drone Racing,,,,,
Drum & Bass,,,,x,
DS,,,,,
DTM,,,,,
Duathlon,x,,,,
Dubstep,,,,x,
Electro Music,,,,x,
Enduro,x,,,,
Enduro,x,,,,
Enduro World Championship E2,x,,,,
Enduro World Championship E3,x,,,,
Endurocross,x,,,,
Entrepreneurship,,,,,
eSports,,,,,x
Evolve,,,,,
Expedition,,,,,
Expressionist Dance,,,,x,
F1,,,,,
F3,,,,,
Fashion,,,,x,
Fencing,x,,,,
Festival,,,,x,
FIA GT Series,x,,,,
Field Hockey,x,,,,
FIFA,x,,,,
FIFA,x,,,,
Fighting Games,,,,,
First Person Shooter,,,,,
Fistball,,x,,,
Fitness Training,,x,,,
Fixed Gear,x,,,,
Flamenco,,,,x,
Flowboarding,x,,,,
Flugtag,,,,,
FMX,,,,,
Fnatic,,,,,
Folk Dance,,,,x,
Football Manager,,,,,
Footvolley,,,,,
Formation Skydiving,x,,,,
Formula 3 Euro Series,x,,,,
Formula 3 UK,x,,,,
Formula 3 UK,x,,,,
Formula ADAC,x,,,,
Formula BMW,x,,,,
Formula BMW Pacific,x,,,,
Formula BMW Talent Cup,x,,,,
Formula Racing,x,,,,
Formula Renault 2.0,x,,,,
Free Climbing,x,,,,
Freediving,x,,,,
Freerunning,x,,,,
Freeskiing,x,,,,
Freeskiing Big Air,x,,,,
Freeskiing Freeride,x,,,,
Freeskiing Half Pipe,x,,,,
Freeskiing Park,x,,,,
Freeskiing Quarterpipe,x,,,,
Freeskiing Slopestyle,x,,,,
Freestyle Skating,x,,,,
Freestyle Swimming,x,,,,
Front Crawl,x,,,,
Gaelic Football,,,,,
Games,,,,,
Giant Slalom Skiing (GS),x,,,,
Gliding,,,,,
Golf,x,,,,
GP2,x,,,,
GP3,x,,,,
Gran Turismo,x,,,,
Grand Theft Auto,,,,,x
Grand Turismo,x,,,,
GRC,,,,,
Grime,,,,,
Gymnastics,x,,,,
Halo,,,,,
Hammer Throw,,,,,
Handball,x,,,,
Hang Gliding,x,,,,
Hang Gliding Aerobatic,x,,,,
Hang Gliding Distance,x,,,,
Hard Enduro,x,,,,
Hardcore,,,,,
Hearthstone,x,,,,
Heliboarding,x,,,,
Helicopter,x,,,,
Heliskiing,x,,,,
Heptathlon,x,,,,
Heroes of the Storm,,,,,
Horse Racing,x,,,,
House Music,,,,,
Hunting,,,,,
Hurdles,,,,,
Hurling,,,,,
Ice Cross Downhill,,,,,
Ice Hockey,x,,,,
Ice Skating,x,,,,
Ice Speedway,x,,,,
IDM,,,,,
Indie,,,,x,
Indie Music,,,,x,
Indie Rock,,,,x,
Indy Car,x,,,,
Inline Basketball,,,,,
Inline Hockey,,,,,
Inline Skating,,,,,
